date,staff.on,staff.off,student.on,student.off,staff7.on,staff7.off,student7.on,student7.off,stafftotal.on,stafftotal.off,studenttotal.on,studenttotal.off
2020-10-09,1.0,1.0,27.0,0.0,3.0,1.0,64.0,17.0,6.0,3.0,72.0,17.0
2020-10-12,1.0,0.0,54.0,0.0,3.0,1.0,112.0,6.0,7.0,3.0,126.0,17.0
2020-10-13,1.0,0.0,12.0,7.0,5.0,2.0,117.0,12.0,8.0,3.0,138.0,24.0
2020-10-14,1.0,1.0,21.0,7.0,6.0,3.0,129.0,17.0,9.0,4.0,159.0,31.0
2020-10-15,0.0,1.0,14.0,5.0,4.0,4.0,122.0,19.0,9.0,5.0,173.0,36.0
2020-10-16,0.0,0.0,8.0,8.0,2.0,4.0,114.0,20.0,9.0,5.0,181.0,44.0
2020-10-19,3.0,1.0,33.0,8.0,4.0,3.0,140.0,24.0,12.0,6.0,214.0,52.0
2020-10-20,1.0,1.0,21.0,4.0,4.0,3.0,138.0,24.0,13.0,7.0,235.0,56.0
2020-10-21,2.0,2.0,11.0,4.0,6.0,4.0,136.0,25.0,15.0,9.0,246.0,60.0
2020-10-22,0.0,0.0,15.0,6.0,6.0,4.0,140.0,24.0,15.0,9.0,261.0,66.0
2020-10-23,0.0,1.0,3.0,7.0,6.0,5.0,129.0,29.0,15.0,10.0,264.0,73.0
2020-10-26,1.0,4.0,10.0,10.0,4.0,8.0,122.0,30.0,16.0,14.0,360.0,86.0
2020-10-27,1.0,2.0,3.0,8.0,4.0,9.0,112.0,31.0,17.0,16.0,363.0,94.0
2020-10-28,3.0,0.0,3.0,3.0,5.0,7.0,98.0,24.0,20.0,16.0,366.0,97.0
2020-10-29,2.0,1.0,1.0,9.0,7.0,8.0,94.0,27.0,22.0,17.0,367.0,106.0
2020-10-30,3.0,2.0,4.0,5.0,10.0,9.0,93.0,28.0,25.0,19.0,371.0,111.0
2020-11-02,3.0,2.0,9.0,8.0,12.0,7.0,99.0,29.0,28.0,21.0,380.0,119.0
2020-11-03,0.0,0.0,2.0,0.0,11.0,5.0,89.0,22.0,28.0,21.0,382.0,119.0
2020-11-04,1.0,0.0,1.0,5.0,9.0,5.0,20.0,32.0,29.0,21.0,383.0,124.0
2020-11-05,1.0,0.0,0.0,6.0,8.0,4.0,16.0,24.0,30.0,21.0,383.0,130.0
2020-11-06,1.0,1.0,3.0,1.0,6.0,5.0,15.0,20.0,31.0,22.0,386.0,131.0
2020-11-09,0.0,3.0,3.0,10.0,3.0,4.0,9.0,22.0,31.0,25.0,389.0,141.0
2020-11-10,0.0,1.0,1.0,2.0,3.0,5.0,8.0,24.0,31.0,26.0,390.0,143.0
2020-11-11,2.0,0.0,4.0,1.0,4.0,5.0,11.0,20.0,33.0,26.0,394.0,144.0
2020-11-12,2.0,1.0,0.0,3.0,5.0,6.0,11.0,17.0,35.0,27.0,394.0,147.0
2020-11-13,2.0,1.0,4.0,4.0,6.0,6.0,12.0,20.0,37.0,28.0,398.0,151.0
2020-11-16,3.0,3.0,8.0,10.0,9.0,6.0,17.0,20.0,40.0,31.0,406.0,161.0
2020-11-17,0.0,0.0,0.0,5.0,9.0,5.0,16.0,23.0,40.0,31.0,406.0,166.0
2020-11-18,0.0,0.0,0.0,7.0,7.0,5.0,12.0,29.0,40.0,31.0,406.0,173.0
2020-11-19,1.0,1.0,0.0,3.0,6.0,5.0,12.0,29.0,41.0,32.0,406.0,176.0
2020-11-20,0.0,4.0,6.0,0.0,4.0,8.0,14.0,25.0,41.0,36.0,412.0,176.0
2020-11-23,1.0,3.0,0.0,4.0,2.0,8.0,6.0,19.0,42.0,39.0,412.0,180.0
2020-11-24,0.0,0.0,0.0,1.0,2.0,8.0,6.0,15.0,42.0,39.0,412.0,181.0
2020-11-25,0.0,1.0,1.0,2.0,2.0,9.0,7.0,10.0,42.0,40.0,413.0,183.0
2020-11-26,0.0,1.0,0.0,1.0,1.0,9.0,7.0,8.0,42.0,41.0,413.0,184.0
2020-11-27,0.0,0.0,0.0,0.0,1.0,5.0,1.0,8.0,42.0,41.0,413.0,184.0
2020-11-30,1.0,1.0,1.0,3.0,1.0,3.0,2.0,7.0,43.0,42.0,414.0,187.0
2020-12-01,0.0,0.0,1.0,3.0,1.0,3.0,3.0,9.0,43.0,42.0,415.0,190.0
2020-12-02,0.0,0.0,1.0,1.0,1.0,2.0,3.0,8.0,43.0,42.0,416.0,191.0
2020-12-03,0.0,0.0,0.0,1.0,1.0,1.0,3.0,8.0,43.0,42.0,416.0,192.0
2020-12-04,0.0,2.0,1.0,1.0,1.0,3.0,4.0,9.0,43.0,44.0,417.0,193.0
2020-12-07,0.0,4.0,1.0,0.0,0.0,6.0,4.0,6.0,43.0,48.0,418.0,193.0
2020-12-08,4.0,1.0,2.0,0.0,4.0,7.0,5.0,3.0,47.0,49.0,420.0,193.0
2020-12-09,1.0,0.0,2.0,2.0,5.0,7.0,6.0,4.0,48.0,49.0,422.0,195.0
2020-12-10,2.0,3.0,1.0,3.0,7.0,10.0,7.0,6.0,50.0,52.0,423.0,198.0
2020-12-11,0.0,0.0,0.0,0.0,7.0,8.0,6.0,5.0,50.0,52.0,423.0,198.0
2020-12-14,4.0,3.0,0.0,8.0,11.0,7.0,5.0,13.0,54.0,55.0,423.0,206.0
2020-12-15,3.0,1.0,1.0,3.0,10.0,7.0,4.0,16.0,57.0,56.0,424.0,209.0
2020-12-16,2.0,1.0,1.0,3.0,11.0,8.0,3.0,17.0,59.0,57.0,425.0,212.0
2020-12-17,1.0,0.0,0.0,3.0,10.0,5.0,2.0,17.0,60.0,57.0,425.0,215.0
2021-01-04,27.0,37.0,4.0,30.0,,,,,87.0,94.0,430.0,250.0
2021-01-05,8.0,9.0,0.0,7.0,20.0,31.0,1.0,19.0,94.0,103.0,430.0,257.0
2021-01-06,1.0,14.0,0.0,5.0,21.0,45.0,1.0,24.0,96.0,117.0,430.0,262.0
2021-01-07,0.0,3.0,0.0,3.0,12.0,48.0,1.0,27.0,96.0,120.0,430.0,265.0
2021-01-08,0.0,8.0,0.0,6.0,12.0,55.0,1.0,29.0,96.0,128.0,430.0,271.0
2021-01-11,6.0,12.0,0.0,8.0,15.0,46.0,0.0,29.0,102.0,140.0,430.0,279.0
2021-01-12,0.0,8.0,1.0,1.0,7.0,45.0,1.0,23.0,102.0,148.0,431.0,280.0
2021-01-13,6.0,9.0,0.0,2.0,12.0,40.0,1.0,20.0,108.0,157.0,431.0,282.0
2021-01-14,3.0,8.0,0.0,1.0,15.0,45.0,1.0,18.0,111.0,165.0,431.0,283.0
2021-01-15,2.0,3.0,1.0,7.0,17.0,40.0,2.0,19.0,113.0,168.0,432.0,290.0
2021-01-18,5.0,11.0,0.0,4.0,16.0,39.0,2.0,23.0,118.0,179.0,432.0,294.0
2021-01-19,6.0,8.0,1.0,6.0,22.0,39.0,2.0,20.0,124.0,187.0,433.0,300.0
2021-01-20,1.0,2.0,0.0,6.0,17.0,32.0,2.0,24.0,125.0,189.0,433.0,306.0
2021-01-21,0.0,2.0,0.0,5.0,14.0,26.0,2.0,28.0,125.0,191.0,433.0,311.0
2021-01-22,1.0,3.0,0.0,7.0,13.0,26.0,1.0,28.0,126.0,194.0,433.0,318.0
2021-01-25,3.0,2.0,0.0,6.0,11.0,17.0,1.0,30.0,129.0,196.0,433.0,324.0
2021-01-26,0.0,6.0,1.0,1.0,6.0,15.0,1.0,25.0,146.0,202.0,434.0,325.0
2021-01-27,2.0,2.0,0.0,1.0,6.0,15.0,1.0,20.0,148.0,204.0,434.0,326.0
2021-01-28,1.0,6.0,0.0,4.0,7.0,19.0,1.0,19.0,149.0,210.0,434.0,330.0
2021-01-29,1.0,1.0,0.0,1.0,7.0,17.0,1.0,13.0,150.0,211.0,434.0,331.0
2021-02-01,2.0,1.0,0.0,3.0,6.0,16.0,1.0,16.0,152.0,212.0,434.0,334.0
2021-02-02,5.0,2.0,1.0,3.0,11.0,12.0,1.0,12.0,157.0,214.0,435.0,337.0
2021-02-03,8.0,0.0,0.0,4.0,17.0,10.0,1.0,15.0,165.0,214.0,435.0,341.0
2021-02-04,1.0,1.0,0.0,3.0,17.0,5.0,1.0,14.0,166.0,215.0,435.0,344.0
2021-02-05,3.0,2.0,0.0,5.0,19.0,6.0,1.0,18.0,169.0,217.0,435.0,349.0
2021-02-08,0.0,2.0,0.0,4.0,17.0,7.0,1.0,22.0,169.0,219.0,435.0,353.0
2021-02-09,0.0,1.0,0.0,1.0,12.0,6.0,0.0,17.0,169.0,220.0,435.0,354.0
2021-02-10,2.0,0.0,0.0,0.0,6.0,6.0,0.0,13.0,171.0,220.0,435.0,354.0
2021-02-11,0.0,4.0,0.0,0.0,5.0,9.0,0.0,10.0,171.0,224.0,435.0,354.0
2021-02-12,0.0,1.0,0.0,2.0,2.0,8.0,0.0,7.0,171.0,225.0,435.0,356.0
2021-02-15,1.0,1.0,1.0,2.0,3.0,7.0,1.0,9.0,172.0,226.0,436.0,358.0
2021-02-16,1.0,1.0,0.0,0.0,4.0,7.0,1.0,4.0,173.0,227.0,436.0,358.0
2021-02-17,0.0,1.0,0.0,0.0,2.0,8.0,1.0,4.0,173.0,228.0,436.0,358.0
2021-02-18,0.0,1.0,0.0,0.0,2.0,5.0,1.0,4.0,173.0,229.0,436.0,358.0
2021-02-19,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,173.0,229.0,436.0,358.0
2021-02-22,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,173.0,229.0,436.0,358.0
2021-02-23,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,173.0,229.0,436.0,358.0
2021-02-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,173.0,229.0,436.0,358.0
2021-02-25,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,174.0,229.0,436.0,358.0
2021-02-26,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,176.0,229.0,437.0,358.0
2021-03-01,2.0,1.0,6.0,3.0,5.0,1.0,7.0,3.0,178.0,230.0,443.0,361.0
2021-03-02,0.0,0.0,1.0,2.0,5.0,1.0,8.0,5.0,178.0,230.0,444.0,363.0
2021-03-03,2.0,1.0,2.0,1.0,7.0,2.0,10.0,6.0,180.0,231.0,446.0,364.0
2021-03-04,1.0,0.0,2.0,0.0,7.0,2.0,12.0,6.0,181.0,231.0,448.0,364.0
2021-03-05,4.0,1.0,1.0,1.0,9.0,3.0,12.0,7.0,185.0,232.0,449.0,365.0
2021-03-08,0.0,0.0,0.0,2.0,7.0,2.0,12.0,9.0,185.0,232.0,449.0,367.0
2021-03-09,1.0,0.0,0.0,0.0,8.0,2.0,5.0,4.0,186.0,232.0,449.0,367.0
2021-03-10,0.0,0.0,2.0,0.0,6.0,1.0,5.0,3.0,186.0,232.0,451.0,367.0
2021-03-11,2.0,1.0,0.0,0.0,7.0,2.0,3.0,3.0,188.0,233.0,451.0,367.0
2021-03-12,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,188.0,233.0,451.0,368.0
