filename,title,source_url,present
000_9_March__Issue_1_.html,Update: 9 March (Issue 1),https://dmtrk.net/UAA-6RZBM-EEUWW3JN9E/cr.aspx,yes
001_10_March__Issue_2_.html,Update: 10 March (Issue 2),https://dmtrk.net/UAA-6S0UV-EEUWW3JN9E/cr.aspx,yes
002_11_March__Issue_3_.html,Update: 11 March (Issue 3),https://dmtrk.net/UAA-6S40C-EEUWW3JN9E/cr.aspx,yes
003_12_March__Issue_4_.html,Update: 12 March (Issue 4),https://dmtrk.net/UAA-6S7HB-EEUWW3JN9E/cr.aspx,yes
004_Provost_s_View__13_March__UCL_s_response_to_the_coronavirus_outbreak.html,"Provost's View, 13 March: UCL's response to the coronavirus outbreak",https://uclnews.org.uk/UAA-6SBTB-EEUWW3JN9E/cr.aspx,yes
005_13_March__Issue_5_.html,Update: 13 March (Issue 5),https://dmtrk.net/UAA-6SB7F-EEUWW3JN9E/cr.aspx,yes
006_16_March__Issue_6_.html,Update: 16 March (Issue 6),https://dmtrk.net/UAA-6SDYG-EEUWW3JN9E/cr.aspx,yes
007_17_March__Issue_7_.html,Update: 17 March (Issue 7),https://uclnews.org.uk/UAA-6SGJS-EEUWW3JN9E/cr.aspx,yes
008_18_March__Issue_8_.html,Update: 18 March (Issue 8),https://uclnews.org.uk/t/UAA-6SJRG-BBUGAA3A64/cr.aspx,yes
009_19_March__Issue_9_.html,Update: 19 March (Issue 9),https://uclnews.org.uk/t/UAA-6SLT8-BBUGAA3A64/cr.aspx,yes
010_20_March__Issue_10_.html,Update: 20 March (Issue 10),https://uclnews.org.uk/t/UAA-6SPR1-BBUGAA3A64/cr.aspx,yes
011_23_March__Issue_11_.html,Update: 23 March (Issue 11),https://uclnews.org.uk/UAA-6SSHT-EEUWW3JN9E/cr.aspx,yes
012_24_March__Issue_12_.html,Update: 24 March (Issue 12),https://uclnews.org.uk/UAA-6SW54-EEUWW3JN9E/cr.aspx,yes
013_25_March__Issue_13_.html,Update: 25 March (Issue 13),https://uclnews.org.uk/t/UAA-6SXUL-BBUGAA3A64/cr.aspx,yes
014_26_March__Issue_14_.html,Update: 26 March (Issue 14),https://uclnews.org.uk/t/UAA-6SZN4-BBUGAA3A64/cr.aspx,yes
015_27_March__Issue_15_.html,Update: 27 March (Issue 15),https://uclnews.org.uk/t/UAA-6T4UG-BBUGAA3A64/cr.aspx,yes
016_30_March__Issue_16_.html,Update: 30 March (Issue 16),https://uclnews.org.uk/UAA-6T8G9-EEUWW3JN9E/cr.aspx,yes
017_31_March__Issue_17_.html,Update: 31 March (Issue 17),https://uclnews.org.uk/t/UAA-6TAI2-BBUGAA3A64/cr.aspx,yes
018_1_April__Issue_18_.html,Update: 1 April (Issue 18),https://uclnews.org.uk/UAA-6TDTR-C4L93RY52B/cr.aspx,yes
019_2_April__Issue_19_.html,Update: 2 April (Issue 19),https://uclnews.org.uk/t/UAA-6TFSE-BBUGAA3A64/cr.aspx,yes
020_3_April__Issue_20_.html,Update: 3 April (Issue 20),https://dmtrk.net/UAA-6TJID-EEUWW3JN9E/cr.aspx,yes
021_6_April__Issue_21_.html,Update: 6 April (Issue 21),https://uclnews.org.uk/t/UAA-6TLFW-BBUGAA3A64/cr.aspx,yes
022_7_April__Issue_22_.html,Update: 7 April (Issue 22),https://uclnews.org.uk/t/UAA-6TMZZ-BBUGAA3A64/cr.aspx,yes
023_8_April__Issue_23_.html,Update: 8 April (Issue 23),https://uclnews.org.uk/UAA-6TQAE-EEUWW3JN9E/cr.aspx,yes
024_15_April__Issue_24_.html,Update: 15 April (Issue 24),https://uclnews.org.uk/UAA-6TZUC-EEUWW3JN9E/cr.aspx,yes
025_16_April__Issue_25_.html,Update: 16 April (Issue 25),https://uclnews.org.uk/UAA-6U2IE-EEUWW3JN9E/cr.aspx,yes
026_17_April__Issue_26_.html,Update: 17 April (Issue 26),https://uclnews.org.uk/UAA-6U58A-EEUWW3JN9E/cr.aspx,yes
027_20_April__Issue_27_.html,Update: 20 April (Issue 27),https://uclnews.org.uk/t/UAA-6U99F-BBUGAA3A64/cr.aspx,yes
028_21_April__Issue_28_.html,Update: 21 April (Issue 28),https://uclnews.org.uk/t/UAA-6UBGU-BBUGAA3A64/cr.aspx,yes
029_22_April__Issue_29_.html,Update: 22 April (Issue 29),https://uclnews.org.uk/UAA-6UDAF-EEUWW3JN9E/cr.aspx,yes
